jd_id,title,role_category,source,url,char_count,file
jd_054,Werkstudent:in - Business Development,ml,Arbeitnow,https://www.arbeitnow.com/jobs/companies/acemateai/werkstudentin-business-development-berlin-280932,3524,jd_054_ml.txt
jd_055,Dynatrace Monitoring Specialist (m/w/d),qa,Arbeitnow,https://www.arbeitnow.com/jobs/companies/flexit-consulting-gmbh/dynatrace-monitoring-specialist-dusseldorf-232013,3212,jd_055_qa.txt
jd_056,Backend Developer (Billing Team),qa,Arbeitnow,https://www.arbeitnow.com/jobs/companies/tripleten/remote-backend-developer-billing-team-berlin-185691,2610,jd_056_qa.txt
jd_057,Frontend Developer,frontend,Adzuna,https://www.adzuna.com/land/ad/5593994418?se=PMQUpIsY8RG5rcA4CVuJpQ&utm_medium=api&utm_source=e34e223e&v=2C02D75A7CF27CC4BB560DD52075D24C4C6C8C43,498,jd_057_frontend.txt
jd_058,Frontend Developer,frontend,Adzuna,https://www.adzuna.com/land/ad/5630359700?se=PMQUpIsY8RG5rcA4CVuJpQ&utm_medium=api&utm_source=e34e223e&v=80C55F320E6A50E8B3C001B1C9B87555E70D887C,499,jd_058_frontend.txt
jd_059,Senior Frontend Developer with Security Clearance,frontend,Adzuna,https://www.adzuna.com/land/ad/5640435027?se=PMQUpIsY8RG5rcA4CVuJpQ&utm_medium=api&utm_source=e34e223e&v=B633F093D054C88004FB644E212DB8946CAEF3C5,499,jd_059_frontend.txt
jd_060,Senior Frontend Developer with Security Clearance,frontend,Adzuna,https://www.adzuna.com/land/ad/5647364637?se=PMQUpIsY8RG5rcA4CVuJpQ&utm_medium=api&utm_source=e34e223e&v=DF91B2196A6D5EF33E5C4C725AA797C5C6CF6369,499,jd_060_frontend.txt
jd_061,Drupal Designer/Frontend Developer 100% Remote,frontend,Adzuna,https://www.adzuna.com/land/ad/5643254779?se=PMQUpIsY8RG5rcA4CVuJpQ&utm_medium=api&utm_source=e34e223e&v=F0BB7A00448D9E9993786D9278E7A97F8FD3042B,499,jd_061_frontend.txt
jd_062,Backend Developer,backend,Adzuna,https://www.adzuna.com/land/ad/5653352253?se=Ml8SrIsY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=61A8C5D736A0DE50EA511A68ADF7D2EA56939894,499,jd_062_backend.txt
jd_063,Backend Developer,backend,Adzuna,https://www.adzuna.com/land/ad/5653260125?se=Ml8SrIsY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=B18158F5E27B1D62DEAA248DA41BE8101C110DFE,499,jd_063_backend.txt
